"","id","mead_long"
"1","Alabama",31.6460666526316
"2","Alaska",24.5425071743542
"3","Arizona",34.6758147272727
"4","Arkansas",34.9428791845238
"5","California",36.159761084058
"6","Colorado",38.4315085833333
"7","Connecticut",41.3640594137931
"8","Delaware",39.45310035
"9","District of Columbia",38.8860867692308
"10","Florida",27.5110473960396
"11","Georgia",32.402766
"12","Hawaii",26.1046203991257
"13","Idaho",45.3091716885246
"14","Illinois",39.6669102083333
"15","Indiana",38.9559441118012
"16","Iowa",42.1223659657143
"17","Kansas",38.807724118421
"18","Kentucky",37.6766892699115
"19","Louisiana",30.3451950976331
"20","Maine",44.429457975
"21","Maryland",38.7745946385135
"22","Massachusetts",41.9303287885714
"23","Michigan",45.4565408765653
"24","Minnesota",46.3189090300429
"25","Mississippi",32.3503880160428
"26","Missouri",38.1922911322314
"27","Montana",46.3082668358209
"28","Nebraska",41.2759904520548
"29","Nevada",37.3116183617021
"30","New Hampshire",43.766342530303
"31","New Jersey",40.1228474423077
"32","New Mexico",33.5767161935484
"33","New York",42.1916526435185
"34","North Carolina",35.5801077074236
"35","North Dakota",47.0406361829268
"36","Ohio",40.0415876583851
"37","Oklahoma",34.4245609099099
"38","Oregon",44.8538337354839
"39","Pennsylvania",40.8061617971015
"40","Rhode Island",41.5538540888889
"41","South Carolina",33.6636441981982
"42","South Dakota",44.1022415666667
"43","Tennessee",35.887673974359
"44","Texas",30.2681018271845
"45","Utah",38.8911754736842
"46","Vermont",43.902480915493
"47","Virginia",37.7112673679525
"48","Washington",47.683287866005
"49","West Virginia",38.5541833864734
"50","Wisconsin",45.2114939010601
"51","Wyoming",42.7424954390244
