year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1996,ALABAMA,AL,1,63,41,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,769044,1534349,20210113,NA,REPUBLICAN
1996,ALABAMA,AL,1,63,41,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,662165,1534349,20210113,NA,DEMOCRAT
1996,ALABAMA,AL,1,63,41,US PRESIDENT,,INDEPENDENT,FALSE,95030,1534349,20210113,NA,OTHER
1996,ALABAMA,AL,1,63,41,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,5290,1534349,20210113,NA,LIBERTARIAN
1996,ALABAMA,AL,1,63,41,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,1697,1534349,20210113,NA,OTHER
1996,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,1123,1534349,20210113,NA,OTHER
1996,ALASKA,AK,2,94,81,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,122746,241620,20210113,NA,REPUBLICAN
1996,ALASKA,AK,2,94,81,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,80380,241620,20210113,NA,DEMOCRAT
1996,ALASKA,AK,2,94,81,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,26333,241620,20210113,NA,OTHER
1996,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,7597,241620,20210113,NA,OTHER
1996,ALASKA,AK,2,94,81,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,2276,241620,20210113,NA,LIBERTARIAN
1996,ALASKA,AK,2,94,81,US PRESIDENT,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,FALSE,925,241620,20210113,NA,OTHER
1996,ALASKA,AK,2,94,81,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,729,241620,20210113,NA,OTHER
1996,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,634,241620,20210113,NA,OTHER
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,653288,1404405,20210113,NA,DEMOCRAT
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,622073,1404405,20210113,NA,REPUBLICAN
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,112072,1404405,20210113,NA,OTHER
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,14358,1404405,20210113,NA,LIBERTARIAN
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,,,TRUE,2573,1404405,20210113,NA,OTHER
1996,ARIZONA,AZ,4,86,61,US PRESIDENT,OTHER,,FALSE,41,1404405,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,475171,884262,20210113,NA,DEMOCRAT
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,325416,884262,20210113,NA,REPUBLICAN
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,69884,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,3649,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,3076,884262,20210113,NA,LIBERTARIAN
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,FALSE,2065,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"FORBES, RALPH",AMERICA FIRST,FALSE,932,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"COLLINS, CHARLES",UNAFFILIATED,FALSE,823,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"MASTERS, ISABELL",LOOKING BACK PARTY,FALSE,749,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"MOOREHEAD, MONICA",WORKERS WORLD,FALSE,747,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,729,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"HOLLIS, MARY CAL",SOCIALIST,FALSE,538,884262,20210113,NA,OTHER
1996,ARKANSAS,AR,5,71,42,US PRESIDENT,"DODGE, EARL",PROHIBITION,FALSE,483,884262,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,5119835,10019469,20210113,NA,DEMOCRAT
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,3828381,10019469,20210113,NA,REPUBLICAN
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,697847,10019469,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,237016,10019469,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,73600,10019469,20210113,NA,LIBERTARIAN
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"FEINLAND, MARSHA",PEACE & FREEDOM,FALSE,25332,10019469,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PHILLIPS, HOWARD",AMERICAN INDEPENDENT PARTY,FALSE,21202,10019469,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,15403,10019469,20210113,NA,OTHER
1996,CALIFORNIA,CA,6,93,71,US PRESIDENT,,,TRUE,853,10019469,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,691848,1510702,20210113,NA,REPUBLICAN
1996,COLORADO,CO,8,84,62,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,671152,1510702,20210113,NA,DEMOCRAT
1996,COLORADO,CO,8,84,62,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,99629,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,25070,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,12392,1510702,20210113,NA,LIBERTARIAN
1996,COLORADO,CO,8,84,62,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,FALSE,2813,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"COLLINS, CHARLES",INDEPENDENT,FALSE,2809,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,2545,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"HOLLIS, MARY CAL",SOCIALIST,FALSE,669,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"MOOREHEAD, MONICA",WORKERS WORLD,FALSE,599,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"TEMPLIN, DIANE",AMERICAN,FALSE,557,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"DODGE, EARL",PROHIBITION,FALSE,375,1510702,20210113,NA,OTHER
1996,COLORADO,CO,8,84,62,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,FALSE,244,1510702,20210113,NA,OTHER
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,735740,1392614,20210113,NA,DEMOCRAT
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,483109,1392614,20210113,NA,REPUBLICAN
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,139523,1392614,20210113,NA,OTHER
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,24321,1392614,20210113,NA,OTHER
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,5788,1392614,20210113,NA,LIBERTARIAN
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PHILLIPS, HOWARD",CONCERNED CITIZENS,FALSE,2425,1392614,20210113,NA,OTHER
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,1703,1392614,20210113,NA,OTHER
1996,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,TRUE,5,1392614,20210113,NA,OTHER
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,140355,270810,20210113,NA,DEMOCRAT
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,99062,270810,20210113,NA,REPUBLICAN
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"PEROT, ROSS",UNAFFILIATED,FALSE,28719,270810,20210113,NA,OTHER
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,2052,270810,20210113,NA,LIBERTARIAN
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"PHILLIPS, HOWARD",U.S. TAXPAYERS PARTY,FALSE,348,270810,20210113,NA,OTHER
1996,DELAWARE,DE,10,51,11,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,274,270810,20210113,NA,OTHER
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,158220,185726,20210113,NA,DEMOCRAT
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,17339,185726,20210113,NA,REPUBLICAN
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,4780,185726,20210113,NA,OTHER
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,3611,185726,20210113,NA,OTHER
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,TRUE,648,185726,20210113,NA,OTHER
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,588,185726,20210113,NA,LIBERTARIAN
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,283,185726,20210113,NA,OTHER
1996,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,FALSE,257,185726,20210113,NA,OTHER
1996,FLORIDA,FL,12,59,43,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,2546870,5303154,20210113,NA,DEMOCRAT
1996,FLORIDA,FL,12,59,43,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,2244536,5303154,20210113,NA,REPUBLICAN
1996,FLORIDA,FL,12,59,43,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,483870,5303154,20210113,NA,OTHER
1996,FLORIDA,FL,12,59,43,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,23326,5303154,20210113,NA,LIBERTARIAN
1996,FLORIDA,FL,12,59,43,US PRESIDENT,,,TRUE,4552,5303154,20210113,NA,OTHER
1996,GEORGIA,GA,13,58,44,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,1080843,2298899,20210113,NA,REPUBLICAN
1996,GEORGIA,GA,13,58,44,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,1053849,2298899,20210113,NA,DEMOCRAT
1996,GEORGIA,GA,13,58,44,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,146337,2298899,20210113,NA,OTHER
1996,GEORGIA,GA,13,58,44,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,17870,2298899,20210113,NA,LIBERTARIAN
1996,HAWAII,HI,15,95,82,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,205012,360120,20210113,NA,DEMOCRAT
1996,HAWAII,HI,15,95,82,US PRESIDENT,"DOLE, ROBERT",REPUBLICAN,FALSE,113943,360120,20210113,NA,REPUBLICAN
1996,HAWAII,HI,15,95,82,US PRESIDENT,"PEROT, ROSS",REFORM PARTY,FALSE,27358,360120,20210113,NA,OTHER
