year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,872849,1441713,20210113,NA,REPUBLICAN
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,551899,1441713,20210113,NA,DEMOCRAT
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,9504,1441713,20210113,NA,LIBERTARIAN
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,4671,1441713,20210113,NA,OTHER
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"RICHARDS, BOB",POPULIST,FALSE,1401,1441713,20210113,NA,OTHER
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,730,1441713,20210113,NA,OTHER
1984,ALABAMA,AL,1,63,41,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,FALSE,659,1441713,20210113,NA,OTHER
1984,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,138377,207605,20210113,NA,REPUBLICAN
1984,ALASKA,AK,2,94,81,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,62007,207605,20210113,NA,DEMOCRAT
1984,ALASKA,AK,2,94,81,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,6378,207605,20210113,NA,LIBERTARIAN
1984,ALASKA,AK,2,94,81,US PRESIDENT,OTHER,,FALSE,843,207605,20210113,NA,OTHER
1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,681416,1025897,20210113,NA,REPUBLICAN
1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,333854,1025897,20210113,NA,DEMOCRAT
1984,ARIZONA,AZ,4,86,61,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,10585,1025897,20210113,NA,LIBERTARIAN
1984,ARIZONA,AZ,4,86,61,US PRESIDENT,OTHER,,FALSE,42,1025897,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,534774,884406,20210113,NA,REPUBLICAN
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,338646,884406,20210113,NA,DEMOCRAT
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,2221,884406,20210113,NA,LIBERTARIAN
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,FALSE,1890,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1499,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"RICHARDS, BOB",POPULIST,FALSE,1461,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,FALSE,1291,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,FALSE,960,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"DODGE, EARL",PROHIBITION,FALSE,842,884406,20210113,NA,OTHER
1984,ARKANSAS,AR,5,71,42,US PRESIDENT,"LOWERY, ARTHUR",UNITED SOVEREIGN CITIZENS,FALSE,822,884406,20210113,NA,OTHER
1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,5467009,9505041,20210113,NA,REPUBLICAN
1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,3922519,9505041,20210113,NA,DEMOCRAT
1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,49951,9505041,20210113,NA,LIBERTARIAN
1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"RICHARDS, BOB",POPULIST,FALSE,39265,9505041,20210113,NA,OTHER
1984,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JOHNSON, SONIA",CITIZENS,FALSE,26297,9505041,20210113,NA,OTHER
1984,COLORADO,CO,8,84,62,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,821817,1295380,20210113,NA,REPUBLICAN
1984,COLORADO,CO,8,84,62,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,454975,1295380,20210113,NA,DEMOCRAT
1984,COLORADO,CO,8,84,62,US PRESIDENT,"BERGLAND, DAVID",LIBERTARIAN,FALSE,11257,1295380,20210113,NA,LIBERTARIAN
1984,COLORADO,CO,8,84,62,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENT,FALSE,4662,1295380,20210113,NA,OTHER
1984,COLORADO,CO,8,84,62,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,FALSE,978,1295380,20210113,NA,OTHER
1984,COLORADO,CO,8,84,62,US PRESIDENT,"DODGE, EARL",PROHIBITION,FALSE,858,1295380,20210113,NA,OTHER
1984,COLORADO,CO,8,84,62,US PRESIDENT,"MASON, MELVIN",SOCIALIST WORKERS,FALSE,810,1295380,20210113,NA,OTHER
1984,COLORADO,CO,8,84,62,US PRESIDENT,OTHER,,FALSE,23,1295380,20210113,NA,OTHER
1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,890877,1466900,20210113,NA,REPUBLICAN
1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"MONDALE, WALTER",DEMOCRAT,FALSE,569597,1466900,20210113,NA,DEMOCRAT
1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,4826,1466900,20210113,NA,OTHER
1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,"SERRETTE, DENNIS",ALLIANCE,FALSE,1374,1466900,20210113,NA,OTHER
1984,CONNECTICUT,CT,9,16,1,US PRESIDENT,OTHER,,FALSE,226,1466900,20210113,NA,OTHER
