year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,941173,1666272,20210113,NA,REPUBLICAN
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,692611,1666272,20210113,NA,DEMOCRAT
2000,ALABAMA,AL,1,63,41,US PRESIDENT,,INDEPENDENT,FALSE,25896,1666272,20210113,NA,OTHER
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,5893,1666272,20210113,NA,LIBERTARIAN
2000,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,699,1666272,20210113,NA,OTHER
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,167398,285560,20210113,NA,REPUBLICAN
2000,ALASKA,AK,2,94,81,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,79004,285560,20210113,NA,DEMOCRAT
2000,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,28747,285560,20210113,NA,OTHER
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,FALSE,5192,285560,20210113,NA,OTHER
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,2636,285560,20210113,NA,LIBERTARIAN
2000,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,1068,285560,20210113,NA,OTHER
2000,ALASKA,AK,2,94,81,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,919,285560,20210113,NA,OTHER
2000,ALASKA,AK,2,94,81,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,FALSE,596,285560,20210113,NA,OTHER
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,781652,1532016,20210113,NA,REPUBLICAN
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,685341,1532016,20210113,NA,DEMOCRAT
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,45645,1532016,20210113,NA,OTHER
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,FALSE,12373,1532016,20210113,NA,OTHER
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"L. NEIL, SMITH",LIBERTARIAN,FALSE,5775,1532016,20210113,NA,LIBERTARIAN
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,1120,1532016,20210113,NA,OTHER
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,,,TRUE,110,1532016,20210113,NA,OTHER
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,472940,921781,20210113,NA,REPUBLICAN
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,422768,921781,20210113,NA,DEMOCRAT
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,13421,921781,20210113,NA,OTHER
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,FALSE,7358,921781,20210113,NA,OTHER
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,2781,921781,20210113,NA,LIBERTARIAN
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,FALSE,1415,921781,20210113,NA,OTHER
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,1098,921781,20210113,NA,OTHER
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,5861203,10965822,20210113,NA,DEMOCRAT
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,4567429,10965822,20210113,NA,REPUBLICAN
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,418707,10965822,20210113,NA,OTHER
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,45520,10965822,20210113,NA,LIBERTARIAN
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,FALSE,44987,10965822,20210113,NA,OTHER
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PHILLIPS, HOWARD",AMERICAN INDEPENDENT PARTY,FALSE,17042,10965822,20210113,NA,OTHER
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,10934,10965822,20210113,NA,OTHER
2000,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,883748,1741368,20210113,NA,REPUBLICAN
2000,COLORADO,CO,8,84,62,US PRESIDENT,"GORE, AL",DEMOCRAT,FALSE,738227,1741368,20210113,NA,DEMOCRAT
2000,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",GREEN,FALSE,91434,1741368,20210113,NA,OTHER
2000,COLORADO,CO,8,84,62,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,FALSE,12799,1741368,20210113,NA,LIBERTARIAN
2000,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",FREEDOM,FALSE,10465,1741368,20210113,NA,OTHER
2000,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,2240,1741368,20210113,NA,OTHER
