year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,654192,1341929,20210113,NA,REPUBLICAN
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,636730,1341929,20210113,NA,DEMOCRAT
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,FALSE,16481,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"RARICK, JOHN",CONSERVATIVE,FALSE,15010,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,FALSE,13318,1341929,20210113,NA,LIBERTARIAN
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",STATESMAN,FALSE,1743,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1629,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"DEBERRY, CLIFTON",SOCIALIST WORKERS,FALSE,1303,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"MCREYNOLDS, DAVID",SOCIALIST,FALSE,1006,1341929,20210113,NA,OTHER
1980,ALABAMA,AL,1,63,41,US PRESIDENT,"COMMONER, BARRY",CITIZENS,FALSE,517,1341929,20210113,NA,OTHER
1980,ALASKA,AK,2,94,81,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,86112,158445,20210113,NA,REPUBLICAN
1980,ALASKA,AK,2,94,81,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,41842,158445,20210113,NA,DEMOCRAT
1980,ALASKA,AK,2,94,81,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,FALSE,18479,158445,20210113,NA,LIBERTARIAN
1980,ALASKA,AK,2,94,81,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,FALSE,11155,158445,20210113,NA,OTHER
1980,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,857,158445,20210113,NA,OTHER
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"REAGAN, RONALD",REPUBLICAN,FALSE,529688,873945,20210113,NA,REPUBLICAN
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,246843,873945,20210113,NA,DEMOCRAT
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"ANDERSON, JOHN B.",INDEPENDENT,FALSE,76952,873945,20210113,NA,OTHER
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLARK, EDWARD """"ED""""",LIBERTARIAN,FALSE,18784,873945,20210113,NA,LIBERTARIAN
1980,ARIZONA,AZ,4,86,61,US PRESIDENT,"DEBERRY, CLIFTON",SOCIALIST WORKERS,FALSE,1100,873945,20210113,NA,OTHER
