year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1992,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,804283,1688060,20210113,NA,REPUBLICAN
1992,ALABAMA,AL,1,63,41,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,690080,1688060,20210113,NA,DEMOCRAT
1992,ALABAMA,AL,1,63,41,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,183109,1688060,20210113,NA,OTHER
1992,ALABAMA,AL,1,63,41,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,5737,1688060,20210113,NA,LIBERTARIAN
1992,ALABAMA,AL,1,63,41,US PRESIDENT,OTHER,INDEPENDENT,FALSE,4128,1688060,20210113,NA,OTHER
1992,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,723,1688060,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,102000,258506,20210113,NA,REPUBLICAN
1992,ALASKA,AK,2,94,81,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,78294,258506,20210113,NA,DEMOCRAT
1992,ALASKA,AK,2,94,81,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,73481,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"GRITZ, JAMES """"BO""""",AMERICA FIRST,FALSE,1379,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,1378,258506,20210113,NA,LIBERTARIAN
1992,ALASKA,AK,2,94,81,US PRESIDENT,"LAROUCHE, LYNDON, JR.",INDEPENDENTS FOR ECONOMIC RECOVERY,FALSE,469,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,433,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"PHILLIPS, HOWARD",TAXPAYERS PARTY,FALSE,377,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,365,258506,20210113,NA,OTHER
1992,ALASKA,AK,2,94,81,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,330,258506,20210113,NA,OTHER
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,572086,1486975,20210113,NA,REPUBLICAN
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,543050,1486975,20210113,NA,DEMOCRAT
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,353741,1486975,20210113,NA,OTHER
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"GRITZ, JAMES """"BO""""",INDEPENDENT,FALSE,8141,1486975,20210113,NA,OTHER
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,6759,1486975,20210113,NA,LIBERTARIAN
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,2267,1486975,20210113,NA,OTHER
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,923,1486975,20210113,NA,OTHER
1992,ARIZONA,AZ,4,86,61,US PRESIDENT,,,TRUE,8,1486975,20210113,NA,OTHER
1992,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,505823,950653,20210113,NA,DEMOCRAT
1992,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,337324,950653,20210113,NA,REPUBLICAN
1992,ARKANSAS,AR,5,71,42,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,99132,950653,20210113,NA,OTHER
1992,ARKANSAS,AR,5,71,42,US PRESIDENT,OTHER,INDEPENDENT,FALSE,8374,950653,20210113,NA,OTHER
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,5121325,11131721,20210113,NA,DEMOCRAT
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,3630574,11131721,20210113,NA,REPUBLICAN
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,2296006,11131721,20210113,NA,OTHER
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,48139,11131721,20210113,NA,LIBERTARIAN
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"DANIELS, RON",PEACE & FREEDOM,FALSE,18597,11131721,20210113,NA,OTHER
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PHILLIPS, HOWARD",AMERICAN INDEPENDENT PARTY,FALSE,12711,11131721,20210113,NA,OTHER
1992,CALIFORNIA,CA,6,93,71,US PRESIDENT,,,TRUE,4369,11131721,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,629681,1569180,20210113,NA,DEMOCRAT
1992,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,562850,1569180,20210113,NA,REPUBLICAN
1992,COLORADO,CO,8,84,62,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,366010,1569180,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,8669,1569180,20210113,NA,LIBERTARIAN
1992,COLORADO,CO,8,84,62,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,1608,1569180,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,"GRITZ, JAMES """"BO""""",DEMOCRAT/REPUBLICAN,FALSE,274,1569180,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,FALSE,47,1569180,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,PROHIBITION,PROHIBITION,FALSE,21,1569180,20210113,NA,OTHER
1992,COLORADO,CO,8,84,62,US PRESIDENT,UNAFFILIATED,UNAFFILIATED,FALSE,20,1569180,20210113,NA,OTHER
1992,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,682318,1616156,20210113,NA,DEMOCRAT
1992,CONNECTICUT,CT,9,16,1,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,578313,1616156,20210113,NA,REPUBLICAN
1992,CONNECTICUT,CT,9,16,1,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,348771,1616156,20210113,NA,OTHER
1992,CONNECTICUT,CT,9,16,1,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,5391,1616156,20210113,NA,LIBERTARIAN
1992,CONNECTICUT,CT,9,16,1,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,1363,1616156,20210113,NA,OTHER
1992,DELAWARE,DE,10,51,11,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,126054,289620,20210113,NA,DEMOCRAT
1992,DELAWARE,DE,10,51,11,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,102313,289620,20210113,NA,REPUBLICAN
1992,DELAWARE,DE,10,51,11,US PRESIDENT,"PEROT, ROSS",INDEPENDENT,FALSE,59213,289620,20210113,NA,OTHER
1992,DELAWARE,DE,10,51,11,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,1105,289620,20210113,NA,OTHER
1992,DELAWARE,DE,10,51,11,US PRESIDENT,"MARROU, ANDRE",LIBERTARIAN,FALSE,935,289620,20210113,NA,LIBERTARIAN
1992,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"CLINTON, BILL",DEMOCRAT,FALSE,192619,227572,20210113,NA,DEMOCRAT
