year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,815576,1378476,20210113,NA,REPUBLICAN
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,549506,1378476,20210113,NA,DEMOCRAT
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,FALSE,8460,1378476,20210113,NA,LIBERTARIAN
1988,ALABAMA,AL,1,63,41,US PRESIDENT,"WINN, EDWARD",INDEPENDENT,FALSE,4428,1378476,20210113,NA,OTHER
1988,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,506,1378476,20210113,NA,OTHER
1988,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,119251,200116,20210113,NA,REPUBLICAN
1988,ALASKA,AK,2,94,81,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,72584,200116,20210113,NA,DEMOCRAT
1988,ALASKA,AK,2,94,81,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,FALSE,5484,200116,20210113,NA,LIBERTARIAN
1988,ALASKA,AK,2,94,81,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,1024,200116,20210113,NA,OTHER
1988,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,957,200116,20210113,NA,OTHER
1988,ALASKA,AK,2,94,81,US PRESIDENT,"LAROUCHE, LYNDON, JR.",NATIONAL ECONOMIC RECOVERY,FALSE,816,200116,20210113,NA,OTHER
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE H.W.",REPUBLICAN,FALSE,702541,1171873,20210113,NA,REPUBLICAN
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"DUKAKIS, MICHAEL",DEMOCRAT,FALSE,454029,1171873,20210113,NA,DEMOCRAT
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"PAUL, RONALD """"RON""""",LIBERTARIAN,FALSE,13351,1171873,20210113,NA,LIBERTARIAN
1988,ARIZONA,AZ,4,86,61,US PRESIDENT,"FULANI, LENORA",NEW ALLIANCE,FALSE,1662,1171873,20210113,NA,OTHER
