year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2004,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1176394,1883415,20210113,NA,REPUBLICAN
2004,ALABAMA,AL,1,63,41,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,693933,1883415,20210113,NA,DEMOCRAT
2004,ALABAMA,AL,1,63,41,US PRESIDENT,OTHER,INDEPENDENT,FALSE,12190,1883415,20210113,NA,OTHER
2004,ALABAMA,AL,1,63,41,US PRESIDENT,OTHER,,TRUE,898,1883415,20210113,NA,OTHER
2004,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,190889,312598,20210113,NA,REPUBLICAN
2004,ALASKA,AK,2,94,81,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,111025,312598,20210113,NA,DEMOCRAT
2004,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",POPULIST,FALSE,5069,312598,20210113,NA,OTHER
2004,ALASKA,AK,2,94,81,US PRESIDENT,"PEROUTKA, MICHAEL",ALASKAN INDEPENDENCE PARTY,FALSE,2092,312598,20210113,NA,OTHER
2004,ALASKA,AK,2,94,81,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,1675,312598,20210113,NA,LIBERTARIAN
2004,ALASKA,AK,2,94,81,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,1058,312598,20210113,NA,OTHER
2004,ALASKA,AK,2,94,81,US PRESIDENT,OTHER,,TRUE,790,312598,20210113,NA,OTHER
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1104294,2012585,20210113,NA,REPUBLICAN
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,893524,2012585,20210113,NA,DEMOCRAT
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,11856,2012585,20210113,NA,LIBERTARIAN
2004,ARIZONA,AZ,4,86,61,US PRESIDENT,OTHER,,TRUE,2911,2012585,20210113,NA,OTHER
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,572898,1054945,20210113,NA,REPUBLICAN
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,469953,1054945,20210113,NA,DEMOCRAT
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",POPULIST,FALSE,6171,1054945,20210113,NA,OTHER
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,2352,1054945,20210113,NA,LIBERTARIAN
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"PEROUTKA, MICHAEL",CONSTITUTION PARTY,FALSE,2083,1054945,20210113,NA,OTHER
2004,ARKANSAS,AR,5,71,42,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,1488,1054945,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,6745485,12421353,20210113,NA,DEMOCRAT
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,5509826,12421353,20210113,NA,REPUBLICAN
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,50165,12421353,20210113,NA,LIBERTARIAN
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,40771,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PELTIER, LEONARD",PEACE & FREEDOM,FALSE,27607,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PEROUTKA, MICHAEL",AMERICAN INDEPENDENT PARTY,FALSE,26645,12421353,20210113,NA,OTHER
2004,CALIFORNIA,CA,6,93,71,US PRESIDENT,OTHER,,TRUE,20854,12421353,20210113,NA,OTHER
2004,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,FALSE,1101255,2129630,20210113,NA,REPUBLICAN
2004,COLORADO,CO,8,84,62,US PRESIDENT,"KERRY, JOHN",DEMOCRAT,FALSE,1001732,2129630,20210113,NA,DEMOCRAT
2004,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",REFORM PARTY,FALSE,12718,2129630,20210113,NA,OTHER
2004,COLORADO,CO,8,84,62,US PRESIDENT,"BADNARIK, MICHAEL",LIBERTARIAN,FALSE,7664,2129630,20210113,NA,LIBERTARIAN
2004,COLORADO,CO,8,84,62,US PRESIDENT,"PEROUTKA, MICHAEL",AMERICAN CONSTITUTION PARTY,FALSE,2562,2129630,20210113,NA,OTHER
2004,COLORADO,CO,8,84,62,US PRESIDENT,"COBB, DAVID",GREEN,FALSE,1591,2129630,20210113,NA,OTHER
2004,COLORADO,CO,8,84,62,US PRESIDENT,"ANDRESS, STANFORD",UNAFFILIATED,FALSE,804,2129630,20210113,NA,OTHER
2004,COLORADO,CO,8,84,62,US PRESIDENT,"AMONDSON, GENE",CONCERNS OF PEOPLE,FALSE,378,2129630,20210113,NA,OTHER
